"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","Display Value","Numeric","Low","High","Comments"
"RSUD_790","PUBLISHED","2014","WPR","PNG","TERTIARY","No","","","",""
"RSUD_790","PUBLISHED","2014","WPR","PNG","DOCTORAL","No","","","",""
"RSUD_790","PUBLISHED","2014","EUR","POL","BACHELOR","No","","","",""
"RSUD_790","PUBLISHED","2014","EUR","POL","MASTER","No","","","",""
"RSUD_790","PUBLISHED","2014","EUR","POL","TERTIARY","No","","","",""
"RSUD_790","PUBLISHED","2014","EUR","POL","DOCTORAL","No","","","",""
"RSUD_790","PUBLISHED","2014","EUR","PRT","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AMR","PRY","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AMR","PRY","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EMR","QAT","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","ROU","BACHELOR","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","ROU","MASTER","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","ROU","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","RUS","TERTIARY","Yes","","","",""
"RSUD_790","PUBLISHED","2014","EUR","RUS","DOCTORAL","Yes","","","",""
"RSUD_790","PUBLISHED","2014","AFR","RWA","BACHELOR","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","RWA","MASTER","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","RWA","TERTIARY","No","","","",""
"RSUD_790","PUBLISHED","2014","AFR","RWA","DOCTORAL","No","","","",""
"RSUD_790","PUBLISHED","2014","EMR","SAU","TERTIARY","Yes","","","",""
