"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","MEASUREIMPORTANCETYPE","Display Value","Numeric","Low","High","Comments"
"SA_0000001721","PUBLISHED","2012","EUR","POL","SA_MONITORING_THROUGH_TEST_PURCHASE","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","POL","SA_AWARENESS_CAMPAIGNS_SELLERS_SERVERS","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","POL","SA_AWARENESS_CAMPAIGNS_YOUTH","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","PRT","SA_SERVER_TRAINING_VOLUNTARILY","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","PRT","SA_SERVER_TRAINING_NEEDED","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","PRT","SA_LEGAL_ENFORCEMENT","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","PRT","SA_MONITORING_THROUGH_TEST_PURCHASE","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","PRT","SA_AWARENESS_CAMPAIGNS_SELLERS_SERVERS","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","PRT","SA_AWARENESS_CAMPAIGNS_YOUTH","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","MDA","SA_SERVER_TRAINING_VOLUNTARILY","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","MDA","SA_SERVER_TRAINING_NEEDED","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","MDA","SA_LEGAL_ENFORCEMENT","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","MDA","SA_MONITORING_THROUGH_TEST_PURCHASE","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","MDA","SA_AWARENESS_CAMPAIGNS_SELLERS_SERVERS","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","MDA","SA_AWARENESS_CAMPAIGNS_YOUTH","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","ROU","SA_SERVER_TRAINING_VOLUNTARILY","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","ROU","SA_SERVER_TRAINING_NEEDED","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","ROU","SA_LEGAL_ENFORCEMENT","High importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","ROU","SA_MONITORING_THROUGH_TEST_PURCHASE","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","ROU","SA_AWARENESS_CAMPAIGNS_SELLERS_SERVERS","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","ROU","SA_AWARENESS_CAMPAIGNS_YOUTH","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","RUS","SA_SERVER_TRAINING_VOLUNTARILY","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","RUS","SA_SERVER_TRAINING_NEEDED","Not used at all","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","RUS","SA_LEGAL_ENFORCEMENT","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","RUS","SA_MONITORING_THROUGH_TEST_PURCHASE","Medium importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","RUS","SA_AWARENESS_CAMPAIGNS_SELLERS_SERVERS","Low importance","","","",""
"SA_0000001721","PUBLISHED","2012","EUR","RUS","SA_AWARENESS_CAMPAIGNS_YOUTH","High importance","","","",""
