"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SUBSTANCETYPE","Display Value","Numeric","Low","High","Comments"
"RSUD_8","PUBLISHED","2008","AFR","UGA","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","AFR","UGA","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","UKR","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","UKR","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AMR","URY","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","AMR","URY","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","EUR","UZB","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","UZB","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AMR","VEN","ALCOHOL","yes","","","",""
"RSUD_8","PUBLISHED","2008","AMR","VEN","DRUGS","yes","","","",""
"RSUD_8","PUBLISHED","2008","WPR","VNM","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","WPR","VNM","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","ZMB","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","ZMB","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","ZWE","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","ZWE","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","MNE","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","EUR","MNE","ALCOHOL","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","CIV","DRUGS","no","","","",""
"RSUD_8","PUBLISHED","2008","AFR","CIV","ALCOHOL","no","","","",""
