"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","COUNTRY","RESIDENCEAREATYPE","Display Value","Numeric","Low","High","Comments"
"SDGPM25","PUBLISHED","2016","AFR","","NAM","TOTL","22.6 [12.2-46.3]","22.59219","12.16088","46.31264",""
"SDGPM25","PUBLISHED","2016","AFR","","NAM","URB","21.0 [11.4-46.3]","20.95705","11.39152","46.25045",""
"SDGPM25","PUBLISHED","2016","AFR","","NER","TOTL","70.8 [35.9-250.7]","70.80428","35.93948","250.70590",""
"SDGPM25","PUBLISHED","2016","AFR","","NER","URB","73.0 [34.2-279.9]","73.02490","34.22078","279.91037",""
"SDGPM25","PUBLISHED","2016","AFR","","NGA","URB","46.3 [40.1-123.4]","46.28043","40.13565","123.41503",""
"SDGPM25","PUBLISHED","2016","AFR","","NGA","TOTL","48.7 [41.1-125.8]","48.72702","41.07746","125.83990",""
"SDGPM25","PUBLISHED","2016","AMR","","NIC","URB","19.0 [12.8-28.7]","18.99759","12.80900","28.71980",""
"SDGPM25","PUBLISHED","2016","AMR","","NIC","TOTL","16.9 [11.3-25.2]","16.87036","11.28905","25.22648",""
"SDGPM25","PUBLISHED","2016","WPR","","NIU","TOTL","11.5 [7.4-17.7]","11.46654","7.36037","17.66222",""
"SDGPM25","PUBLISHED","2016","EUR","","NLD","URB","12.1 [11.6-12.6]","12.12393","11.56313","12.61202",""
"SDGPM25","PUBLISHED","2016","EUR","","NLD","TOTL","12.1 [11.5-12.6]","12.07306","11.51382","12.55537",""
"SDGPM25","PUBLISHED","2016","EUR","","NOR","URB","7.8 [7.2-8.2]","7.77142","7.21240","8.21838",""
"SDGPM25","PUBLISHED","2016","EUR","","NOR","TOTL","7.0 [6.5-7.5]","7.02303","6.52628","7.50353",""
"SDGPM25","PUBLISHED","2016","SEAR","","NPL","URB","99.5 [75.5-146.6]","99.45604","75.47302","146.59807",""
"SDGPM25","PUBLISHED","2016","SEAR","","NPL","TOTL","94.3 [71.0-139.8]","94.33061","70.99035","139.82509",""
"SDGPM25","PUBLISHED","2016","WPR","","NRU","URB","12.5 [8.0-18.4]","12.52826","7.99059","18.41359",""
"SDGPM25","PUBLISHED","2016","WPR","","NRU","TOTL","12.5 [8.0-18.4]","12.52826","7.99049","18.41308",""
"SDGPM25","PUBLISHED","2016","WPR","","NZL","TOTL","5.7 [5.6-6.5]","5.73113","5.58491","6.45048",""
"SDGPM25","PUBLISHED","2016","WPR","","NZL","URB","5.8 [5.7-6.6]","5.83710","5.70957","6.58184",""
"SDGPM25","PUBLISHED","2016","EMR","","OMN","TOTL","38.2 [27.6-63.1]","38.24894","27.55488","63.13259",""
"SDGPM25","PUBLISHED","2016","EMR","","OMN","URB","36.2 [23.6-56.9]","36.16610","23.59432","56.93135",""
"SDGPM25","PUBLISHED","2016","EMR","","PAK","URB","56.2 [47.8-76.7]","56.18480","47.75220","76.74324",""
"SDGPM25","PUBLISHED","2016","EMR","","PAK","TOTL","55.2 [46.7-75.7]","55.21066","46.70371","75.73616",""
"SDGPM25","PUBLISHED","2016","AMR","","PAN","URB","12.0 [9.2-16.5]","11.98519","9.21256","16.52241",""
"SDGPM25","PUBLISHED","2016","AMR","","PAN","TOTL","11.2 [8.6-15.2]","11.18303","8.61603","15.17981",""
"SDGPM25","PUBLISHED","2016","AMR","","PER","TOTL","24.3 [20.3-32.8]","24.27049","20.32266","32.80604",""
"SDGPM25","PUBLISHED","2016","AMR","","PER","URB","29.0 [25.5-35.1]","29.04310","25.46320","35.08170",""
"SDGPM25","PUBLISHED","2016","WPR","","PHL","URB","18.7 [15.3-21.9]","18.70844","15.31724","21.86950",""
