"GHO","PUBLISHSTATE","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"M_def_1_prev_adult","PUBLISHED","EUR","MNE","MLE","35.0","35.00000","","",""
"M_def_1_prev_adult","PUBLISHED","SEAR","THA","MLE","39.0","39.00000","","",""
"M_def_1_prev_adult","PUBLISHED","WPR","SLB","BTSX","41.4","41.40000","","",""
"M_def_1_prev_adult","PUBLISHED","WPR","KIR","FMLE","43.1","43.10000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","SVK","MLE","43.5","43.50000","","",""
"M_def_1_prev_adult","PUBLISHED","EUR","EST","MLE","44.6","44.60000","","",""
"M_def_1_prev_adult","PUBLISHED","EMR","EGY","MLE","46.0","46.00000","","",""
"M_def_1_prev_adult","PUBLISHED","WPR","VNM","MLE","47.4","47.40000","","",""
"M_def_1_prev_adult","PUBLISHED","WPR","CHN","MLE","52.9","52.90000","","",""
"M_def_1_prev_adult","PUBLISHED","WPR","KIR","BTSX","58.0","58.00000","","",""
"M_def_1_prev_adult","PUBLISHED","WPR","LAO","MLE","65.0","65.00000","","",""
"M_def_1_prev_adult","PUBLISHED","WPR","FSM","MLE","69.1","69.10000","","",""
"M_def_1_prev_adult","PUBLISHED","WPR","KIR","MLE","74.1","74.10000","","",""
