"GHO","PUBLISHSTATE","YEAR","REGION","UNREGION","WORLDBANKINCOMEGROUP","UNSDGREGION","Display Value","Numeric","Low","High","Comments"
"NUTSTUNTINGPREV","PUBLISHED","1995","","543","","","36.6 [19.8-57.5]","36.60000","19.80000","57.50000","Consecutive Low Population Coverage"
"NUTSTUNTINGPREV","PUBLISHED","1995","","419","","","19.6 [15.9-23.3]","19.60000","15.90000","23.30000",""
"NUTSTUNTINGPREV","PUBLISHED","1995","","17","","","42.0 [35.3-49.0]","42.00000","35.30000","49.00000",""
"NUTSTUNTINGPREV","PUBLISHED","1995","","18","","","33.9 [29.5-38.5]","33.90000","29.50000","38.50000",""
"NUTSTUNTINGPREV","PUBLISHED","1995","","21","","","3.2","3.20000","","","regional average is based only on United States data, hence confidence intervals are not provided"
"NUTSTUNTINGPREV","PUBLISHED","1995","","143","","","35.4 [26.7-45.3]","35.40000","26.70000","45.30000",""
"NUTSTUNTINGPREV","PUBLISHED","1995","","30","","","26.6 [24.9-28.4]","26.60000","24.90000","28.40000","excluding Japan"
"NUTSTUNTINGPREV","PUBLISHED","1995","","64","","","54.0 [49.8-58.1]","54.00000","49.80000","58.10000",""
"NUTSTUNTINGPREV","PUBLISHED","1995","","53","","","0.0","0.00000","","","insufficient data for estimating confidence intervals"
"NUTSTUNTINGPREV","PUBLISHED","1995","","5","","","16.2 [12.5-20.7]","16.20000","12.50000","20.70000",""
"NUTSTUNTINGPREV","PUBLISHED","1995","","34","","","54.7 [50.3-59.0]","54.70000","50.30000","59.00000",""
"NUTSTUNTINGPREV","PUBLISHED","1995","","15","","","26.2 [20.0-33.6]","26.20000","20.00000","33.60000",""
"NUTSTUNTINGPREV","PUBLISHED","2000","","34","","","49.7 [45.6-53.9]","49.70000","45.60000","53.90000",""
"NUTSTUNTINGPREV","PUBLISHED","2000","","35","","","38.5 [32.7-44.7]","38.50000","32.70000","44.70000",""
"NUTSTUNTINGPREV","PUBLISHED","2000","","13","","","23.7 [16.6-32.8]","23.70000","16.60000","32.80000",""
"NUTSTUNTINGPREV","PUBLISHED","2000","","17","","","39.7 [34.1-45.6]","39.70000","34.10000","45.60000",""
"NUTSTUNTINGPREV","PUBLISHED","2000","","142","","","37.8 [35.5-40.2]","37.80000","35.50000","40.20000","excluding Japan"
"NUTSTUNTINGPREV","PUBLISHED","2000","","64","","","49.0 [45.0-53.1]","49.00000","45.00000","53.10000",""
"NUTSTUNTINGPREV","PUBLISHED","2000","","2","","","37.9 [35.6-40.2]","37.90000","35.60000","40.20000",""
"NUTSTUNTINGPREV","PUBLISHED","2000","","419","","","16.8 [13.3-20.2]","16.80000","13.30000","20.20000",""
"NUTSTUNTINGPREV","PUBLISHED","2000","","198","","","48.6 [45.3-51.9]","48.60000","45.30000","51.90000",""
"NUTSTUNTINGPREV","PUBLISHED","2000","","197","","","35.7 [34.0-37.4]","35.70000","34.00000","37.40000","Only Less Developed Regions are displayed, while the aggregates of the More Developed Regions are not displayed due to insufficient population coverage"
