"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","AGEGROUP","RESIDENCEAREATYPE","WEALTHQUINTILE","Display Value","Numeric","Low","High","Comments"
"EQ_WATERPIPED","PUBLISHED","2007","SEAR","BGD","","","WQ2","4.1","0.04092","","",""
"EQ_WATERPIPED","PUBLISHED","1998","AMR","BOL","","","WQ2","92.4","0.92381","","",""
"EQ_WATERPIPED","PUBLISHED","2003","AMR","BOL","","","WQ2","89.8","0.89778","","",""
"EQ_WATERPIPED","PUBLISHED","1994","AFR","ZWE","","URB","","97.4","0.97416","","",""
"EQ_WATERPIPED","PUBLISHED","2006","EUR","AZE","","","WQ1","50.4","0.50429","","",""
"EQ_WATERPIPED","PUBLISHED","1993","SEAR","BGD","","","WQ1","7.2","0.07225","","",""
"EQ_WATERPIPED","PUBLISHED","2005","AMR","COL","","","WQ1","77.6","0.77586","","",""
"EQ_WATERPIPED","PUBLISHED","1994","AFR","CIV","","","WQ1","47.4","0.47439","","",""
"EQ_WATERPIPED","PUBLISHED","2008","AMR","BOL","","","WQ2","95.5","0.95536","","",""
"EQ_WATERPIPED","PUBLISHED","1998","AFR","CIV","","","WQ1","40.9","0.40911","","",""
