"GHO","DATASOURCE","PUBLISHSTATE","YEAR","REGION","COUNTRY","EDUCATIONLEVEL","RESIDENCEAREATYPE","WEALTHQUINTILE","DHSMICSGEOREGION","WEALTHDECILE","Display Value","Numeric","Low","High","Comments"
"bmi30wm","EQ_DHS","PUBLISHED","2006","EUR","AZE","","","","AZEDHS200609","","13.0 [10.9-15.5]","13.00000","11.00000","15.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","1993","SEAR","BGD","","","","BGDDHS199301","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","1993","SEAR","BGD","","","","BGDDHS199302","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","1993","SEAR","BGD","","","","BGDDHS199303","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","1993","SEAR","BGD","","","","BGDDHS199304","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","1993","SEAR","BGD","","","","BGDDHS199305","","No data","","","","Not available."
"bmi30wm","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","","BGDDHS199601","","0.5 [0.1-2.0]","1.00000","0.00000","2.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","","BGDDHS199602","","1.1 [0.6-2.4]","1.00000","1.00000","2.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","","BGDDHS199603","","0.5 [0.2-1.2]","1.00000","0.00000","1.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","","BGDDHS199604","","0.2 [0.2-0.2]","0.00000","0.00000","0.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","","BGDDHS199605","","0.3 [0.2-0.5]","0.00000","0.00000","0.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","1996","SEAR","BGD","","","","BGDDHS199606","","0.2 [0.2-0.2]","0.00000","0.00000","0.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","1999","SEAR","BGD","","","","BGDDHS199901","","0.5 [0.2-1.8]","1.00000","0.00000","2.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","1999","SEAR","BGD","","","","BGDDHS199902","","0.6 [0.2-1.4]","1.00000","0.00000","1.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","1999","SEAR","BGD","","","","BGDDHS199903","","1.2 [0.7-2.1]","1.00000","1.00000","2.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","1999","SEAR","BGD","","","","BGDDHS199904","","0.6 [0.3-1.3]","1.00000","0.00000","1.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","1999","SEAR","BGD","","","","BGDDHS199905","","0.5 [0.2-1.3]","1.00000","0.00000","1.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","1999","SEAR","BGD","","","","BGDDHS199906","","0.4 [0.1-1.2]","0.00000","0.00000","1.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","","","BGDDHS200401","","1.3 [0.7-2.4]","1.00000","1.00000","2.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","","","BGDDHS200402","","1.4 [0.9-2.2]","1.00000","1.00000","2.00000",""
"bmi30wm","EQ_DHS","PUBLISHED","2004","SEAR","BGD","","","","BGDDHS200403","","2.0 [1.4-2.9]","2.00000","1.00000","3.00000",""
