"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","ENVCAUSE","Display Value","Numeric","Low","High","Comments"
"TOTENV_2","PUBLISHED","2012","EUR","ESP","ENVCAUSE060","41","40.81299","","",""
"TOTENV_2","PUBLISHED","2012","AMR","GTM","ENVCAUSE060","73","73.41117","","",""
"TOTENV_2","PUBLISHED","2012","EUR","IRL","ENVCAUSE060","45","44.99957","","",""
"TOTENV_2","PUBLISHED","2012","EUR","KGZ","ENVCAUSE060","215","215.33712","","",""
"TOTENV_2","PUBLISHED","2012","EMR","MAR","ENVCAUSE060","99","99.44145","","",""
"TOTENV_2","PUBLISHED","2012","AFR","MWI","ENVCAUSE060","150","149.78282","","",""
"TOTENV_2","PUBLISHED","2012","EUR","NOR","ENVCAUSE060","35","35.30732","","",""
"TOTENV_2","PUBLISHED","2012","EMR","SAU","ENVCAUSE060","110","110.41931","","",""
"TOTENV_2","PUBLISHED","2012","EMR","SOM","ENVCAUSE060","117","116.73517","","",""
"TOTENV_2","PUBLISHED","2012","EUR","SVN","ENVCAUSE060","53","52.89789","","",""
"TOTENV_2","PUBLISHED","2012","AFR","SYC","ENVCAUSE060","50","49.93948","","",""
"TOTENV_2","PUBLISHED","2012","EUR","TKM","ENVCAUSE060","271","270.95064","","",""
"TOTENV_2","PUBLISHED","2012","SEAR","TLS","ENVCAUSE060","145","145.07568","","",""
"TOTENV_2","PUBLISHED","2012","WPR","TON","ENVCAUSE060","82","82.33456","","",""
"TOTENV_2","PUBLISHED","2012","WPR","VUT","ENVCAUSE060","124","123.71497","","",""
"TOTENV_2","PUBLISHED","2012","AFR","ZAF","ENVCAUSE060","100","99.55563","","",""
"TOTENV_2","PUBLISHED","2012","AFR","AGO","ENVCAUSE001","188","188.11059","","",""
"TOTENV_2","PUBLISHED","2012","SEAR","BTN","ENVCAUSE001","29","29.18168","","",""
"TOTENV_2","PUBLISHED","2012","AMR","CUB","ENVCAUSE001","1","1.45317","","",""
"TOTENV_2","PUBLISHED","2012","EUR","HRV","ENVCAUSE001","1","0.61529","","",""
"TOTENV_2","PUBLISHED","2012","WPR","MYS","ENVCAUSE001","6","5.98686","","",""
"TOTENV_2","PUBLISHED","2012","EMR","SDN","ENVCAUSE001","86","86.13684","","",""
